,0,1,2,3,4
390,3.0,3.7,3.55,2.75,3.7
391,2.0,3.55,3.6,3.5,4.15
392,2.4,4.45,3.8,4.2,4.35
393,3.95,4.3,4.7,3.5,4.4
394,2.4,2.3,3.7,2.8,2.9
395,2.9,4.4,4.4,3.9,4.6
396,3.0,3.75,3.9,4.05,3.4
397,2.65,3.15,3.6,3.25,2.95
398,2.95,3.3,3.55,3.1,3.45
399,2.4,3.1,3.0,2.6,3.05
400,2.1,3.7,3.4,3.8,3.8
401,3.0,3.55,4.0,4.15,4.4
402,3.0,2.9,3.35,3.2,3.65
403,2.4,3.15,3.8,3.4,3.6
404,3.6,3.35,3.7,3.65,4.2
405,3.0,3.05,3.05,3.0,3.0
406,2.1,3.95,3.95,4.55,4.05
407,4.15,2.75,3.8,2.2,4.15
408,3.6,3.15,3.6,3.9,4.1
409,2.25,3.05,3.55,2.85,3.45
410,2.4,3.65,3.4,2.9,3.45
411,3.05,3.45,4.1,3.2,4.15
412,3.0,3.0,3.0,3.0,3.0
413,1.8,4.4,4.1,4.4,4.05
414,3.45,3.15,3.2,3.35,3.35
415,2.4,3.0,3.0,2.85,3.0
416,3.6,2.45,2.05,3.6,3.85
417,2.4,3.35,3.65,3.8,3.1
418,3.0,2.65,3.0,3.0,3.05
419,2.4,3.6,4.05,3.25,3.45
420,3.0,3.0,3.0,3.0,3.0
421,3.0,3.95,4.25,4.1,4.3
422,3.0,3.05,3.95,3.25,3.7
423,3.1,3.45,3.65,3.35,3.55
424,3.0,3.75,4.1,4.1,4.25
425,3.3,3.3,3.3,3.3,3.3
426,1.7,2.75,4.55,3.8,4.6
427,2.05,3.8,4.1,3.15,4.15
428,3.0,2.95,3.05,3.25,3.05
429,2.6,4.6,4.3,4.6,4.2
430,2.4,2.95,3.35,3.0,2.95
431,2.0,4.2,3.85,3.85,3.65
432,2.4,3.55,3.95,2.8,4.2
433,2.0,2.85,4.3,4.5,3.85
434,2.4,2.4,3.0,2.45,3.3
435,2.4,3.35,4.05,3.45,3.9
436,2.2,2.0,4.15,2.5,4.05
437,3.2,4.45,3.9,3.9,3.75
438,2.95,3.3,3.15,3.1,3.3
439,1.65,3.85,3.7,3.35,3.9
440,1.8,2.25,2.9,2.8,3.65
441,2.4,2.85,2.8,2.8,3.35
442,3.3,3.3,3.75,2.85,3.4
443,2.85,3.0,2.45,2.9,2.95
